COMID,GNIS_Name,AreaSqKM,TotDASqKM,DivDASqKM
21435433,Colorado River,2.6649,410023.3455,408419.8227
21435435,Colorado River,0.5724,410037.8877,408434.3649
21435441,Colorado River,0.0747,410041.8945,408438.3717
21442615,Colorado River,0.4446,410053.9437,408450.4209
21435445,Colorado River,4.9545,410059.9368,408456.414
21442617,Colorado River,0.0261,410118.4773,408514.9545
21436751,Colorado River,0.0297,410118.507,408514.9842
21436753,Colorado River,8.6211,410127.1281,408523.6053
945030295,Colorado River,2.8962,410132.6973,408529.1745
945030296,Colorado River,4.6116,410197.8645,408594.3417
945030298,Colorado River,104.0454,410330.9925,408727.4697
945030299,Colorado River,1.9008,410438.8791,408835.3563
945030297,Colorado River,32.9508,410517.1341,408913.6113
21436767,Colorado River,0.1953,410540.7699,408937.2471
21436769,Colorado River,0.0441,410573.5569,408970.0341
21436773,Colorado River,0.324,410592.879,408989.3562
